time,company,approved,requests,approved_number,country
2014H1,apple,0.5,4,2,Belgium
2014H1,apple,0,1,0,Bulgaria
2014H1,apple,0,0,0,Czech Republic
2014H1,apple,0,4,0,Denmark
2014H1,apple,0,0,0,Finland
2014H1,apple,0.31,72,22,France
2014H1,apple,0.43,122,52,Germany
2014H1,apple,0,2,0,India
2014H1,apple,0.14,7,0,Ireland
2014H1,apple,0.41,22,9,Italy
2014H1,apple,0,0,0,Luxembourg
2014H1,apple,0.33,6,1,Netherlands
2014H1,apple,0.5,2,1,Norway
2014H1,apple,0.67,3,2,Poland
2014H1,apple,0,0,0,Portugal
2014H1,apple,0,1,0,Russia
2014H1,apple,0,0,0,San Marino
2014H1,apple,0.3,10,3,Spain
2014H1,apple,0.38,13,4,Sweden
2014H1,apple,0.5,6,3,Switzerland
2014H1,apple,0.67,3,2,Turkey
2014H1,apple,0.43,179,76,United Kingdom
2014H2,apple,0,1,0,Argentina
2014H2,apple,0.33,3,0,Brazil
2014H2,apple,0.3,82,24,Australia
2014H2,apple,0.32,31,9,China
2014H2,apple,0.76,34,25,Hong Kong
2014H2,apple,0.6,73,43,Japan
2014H2,apple,1,1,1,Malaysia
2014H2,apple,0.33,3,0,New Zealand
2014H2,apple,0.79,24,18,Singapore
2014H2,apple,0.14,21,2,South Korea
2014H2,apple,0.67,6,4,Taiwan
2014H2,apple,0.8,788,630,United States
2014H2,apple,0.57,7,3,Canada
2014H2,apple,1,4,4,Austria
2014H2,apple,0.2,5,1,Belgium
2014H2,apple,0,1,0,Czech Republic
2014H2,apple,0.5,6,3,Denmark
2014H2,apple,0.26,43,11,France
2014H2,apple,0.42,84,35,Germany
2014H2,apple,0.25,4,1,India
2014H2,apple,1,1,1,Ireland
2014H2,apple,0.4,20,8,Italy
2014H2,apple,0.44,9,3,Luxembourg
2014H2,apple,1,1,1,Malta
2014H2,apple,0.4,5,2,Netherlands
2014H2,apple,0.2,5,1,Norway
2014H2,apple,0,1,0,Poland
2014H2,apple,1,1,1,Portugal
2014H2,apple,0.26,19,4,Spain
2014H2,apple,0.33,6,1,Sweden
2014H2,apple,0.33,3,0,Switzerland
2014H2,apple,0.33,6,1,Turkey
2014H2,apple,0.53,127,67,United Kingdom
2015H1,apple,0.75,4,3,Brazil
2015H1,apple,1,1,1,Colombia
2015H1,apple,0.12,98,11,Australia
2015H1,apple,0.29,24,6,China
2015H1,apple,0.79,14,11,Hong Kong
2015H1,apple,0.39,51,19,Japan
2015H1,apple,0.25,4,1,New Zealand
2015H1,apple,0.35,26,9,Singapore
2015H1,apple,0.41,17,6,South Korea
2015H1,apple,0.54,13,7,Taiwan
2015H1,apple,0.81,971,786,United States
2015H1,apple,1,8,8,Canada
2015H1,apple,0.57,7,3,Austria
2015H1,apple,1,2,2,Belarus
2015H1,apple,1,1,1,Belgium
2015H1,apple,0.5,2,1,Cyprus
2015H1,apple,0.33,3,0,Denmark
2015H1,apple,0.49,43,21,France
2015H1,apple,0.42,78,32,Germany
2015H1,apple,0.8,5,4,Greece
2015H1,apple,0,3,0,Hungary
2015H1,apple,0,1,0,India
2015H1,apple,0,4,0,Ireland
2015H1,apple,0.48,29,13,Italy
2015H1,apple,1,2,2,Malta
2015H1,apple,0.33,3,0,Netherlands
2015H1,apple,0.67,3,2,Norway
2015H1,apple,0.5,2,1,Pakistan
2015H1,apple,1,2,2,Portugal
2015H1,apple,0,1,0,Romania
2015H1,apple,0,3,0,Russia
2015H1,apple,0.53,19,10,Spain
2015H1,apple,0.2,5,1,Sweden
2015H1,apple,0.2,5,1,Switzerland
2015H1,apple,0,6,0,Turkey
2015H1,apple,0.63,207,130,United Kingdom
2015H2,apple,0.33,91,30,Australia
2015H2,apple,0.53,32,16,China
2015H2,apple,0.54,13,7,Hong Kong
2015H2,apple,0.49,55,26,Japan
2015H2,apple,0,6,0,New Zealand
2015H2,apple,0.73,15,10,Singapore
2015H2,apple,0.33,6,1,South Korea
2015H2,apple,0.6,5,3,Taiwan
2015H2,apple,0.67,12,8,Austria
2015H2,apple,0.5,6,3,Belgium
2015H2,apple,0,1,0,Cyprus
2015H2,apple,0.2,5,1,Czech Republic
2015H2,apple,0.25,4,1,Denmark
2015H2,apple,0.67,3,2,Finland
2015H2,apple,0.3,60,18,France
2015H2,apple,0.52,130,67,Germany
2015H2,apple,0.67,3,2,India
2015H2,apple,0.63,8,5,Ireland
2015H2,apple,0.27,26,7,Italy
2015H2,apple,0,1,0,Kuwait
2015H2,apple,0.5,2,1,Luxembourg
2015H2,apple,0,1,0,Malta
2015H2,apple,0.38,13,4,Netherlands
2015H2,apple,0.6,5,3,Norway
2015H2,apple,0.57,7,3,Portugal
2015H2,apple,0,3,0,Russia
2015H2,apple,0.48,21,10,Spain
2015H2,apple,0.33,6,1,Sweden
2015H2,apple,0.38,8,3,Switzerland
2015H2,apple,0.67,3,2,Turkey
2015H2,apple,0.58,208,120,United Kingdom
2015H2,apple,0.97,32,31,Brazil
2015H2,apple,1,1,1,Dominican Republic
2015H2,apple,1,6,6,Canada
2015H2,apple,0.82,1015,832,United States
2016H1,apple,0.51,108,55,Australia
2016H1,apple,0.87,31,26,China
2016H1,apple,0.61,23,14,Hong Kong
2016H1,apple,0.56,160,89,Japan
2016H1,apple,0.5,4,2,Macau
2016H1,apple,0.25,4,1,New Zealand
2016H1,apple,0.75,28,21,Singapore
2016H1,apple,0.39,23,8,South Korea
2016H1,apple,0.82,49,40,Taiwan
2016H1,apple,0.4,5,2,Austria
2016H1,apple,1,1,1,Belarus
2016H1,apple,1,2,2,Belgium
2016H1,apple,0.5,2,1,Czech Republic
2016H1,apple,1,1,1,Denmark
2016H1,apple,1,3,3,Estonia
2016H1,apple,0.5,2,1,Finland
2016H1,apple,0.47,75,35,France
2016H1,apple,0.52,203,105,Germany
2016H1,apple,1,1,1,Greece
2016H1,apple,0.5,4,2,Hungary
2016H1,apple,0.82,11,9,India
2016H1,apple,0.6,5,3,Ireland
2016H1,apple,0,1,0,Israel
2016H1,apple,0.38,45,17,Italy
2016H1,apple,0.29,7,2,Luxembourg
2016H1,apple,1,3,3,Malta
2016H1,apple,0.5,10,5,Netherlands
2016H1,apple,0.5,6,3,Norway
2016H1,apple,0.2,5,1,Poland
2016H1,apple,0.4,5,2,Portugal
2016H1,apple,0.25,4,1,Russia
2016H1,apple,1,1,1,Slovenia
2016H1,apple,0.49,39,19,Spain
2016H1,apple,0.8,10,8,Sweden
2016H1,apple,1,2,2,Switzerland
2016H1,apple,0.44,9,3,Turkey
2016H1,apple,0.67,271,181,United Kingdom
2016H1,apple,1,1,1,Argentina
2016H1,apple,0.88,33,29,Brazil
2016H1,apple,1,1,1,Chile
2016H1,apple,0,1,0,Paraguay
2016H1,apple,1,2,2,Canada
2016H1,apple,0.84,1363,1144,United States
2016H2,apple,0.65,91,59,Australia
2016H2,apple,0.88,25,22,China
2016H2,apple,0.63,8,5,Hong Kong
2016H2,apple,0.77,115,88,Japan
2016H2,apple,0.75,4,3,New Zealand
2016H2,apple,0.83,30,24,Singapore
2016H2,apple,0.75,8,6,South Korea
2016H2,apple,0.82,65,53,Taiwan
2016H2,apple,1,1,1,Armenia
2016H2,apple,0.33,3,0,Austria
2016H2,apple,0.5,4,2,Belgium
2016H2,apple,1,4,4,Czech Republic
2016H2,apple,0.63,8,5,Denmark
2016H2,apple,1,2,2,Estonia
2016H2,apple,0,1,0,Finland
2016H2,apple,0.59,70,41,France
2016H2,apple,0.7,159,111,Germany
2016H2,apple,1,3,3,Greece
2016H2,apple,1,3,3,Hungary
2016H2,apple,1,1,1,Iceland
2016H2,apple,0.89,18,16,India
2016H2,apple,0.5,2,1,Ireland
2016H2,apple,0.5,2,1,Israel
2016H2,apple,0.89,44,39,Italy
2016H2,apple,0.5,2,1,Luxembourg
2016H2,apple,1,3,3,Malta
2016H2,apple,1,6,6,Netherlands
2016H2,apple,0.33,3,0,Norway
2016H2,apple,1,1,1,Pakistan
2016H2,apple,0.8,5,4,Poland
2016H2,apple,0.75,4,3,Portugal
2016H2,apple,0,1,0,Qatar
2016H2,apple,0.25,4,1,Russia
2016H2,apple,1,1,1,South Africa
2016H2,apple,0.55,20,11,Spain
2016H2,apple,0.78,18,14,Sweden
2016H2,apple,1,3,3,Switzerland
2016H2,apple,0.71,7,4,Turkey
2016H2,apple,0.77,199,153,United Kingdom
2016H2,apple,0.33,3,0,Argentina
2016H2,apple,0.8,56,44,Brazil
2016H2,apple,1,1,1,Chile
2016H2,apple,1,1,1,Dominican Republic
2016H2,apple,1,3,3,Canada
2016H2,apple,0.83,1219,1011,United States
2009H2,google,0,44,0,Japan
2009H2,google,0,1166,0,United Kingdom
2009H2,google,0,41,0,Canada
2009H2,google,0,110,0,Chile
2009H2,google,0,846,0,France
2009H2,google,0,324,0,Spain
2009H2,google,0,1061,0,India
2009H2,google,0,67,0,Netherlands
2009H2,google,0,62,0,Singapore
2009H2,google,0,3580,0,United States
2009H2,google,0,98,0,Argentina
2009H2,google,0,86,0,Poland
2009H2,google,0,44,0,South Korea
2009H2,google,0,458,0,Germany
2009H2,google,0,155,0,Australia
2009H2,google,0,550,0,Italy
2009H2,google,0,42,0,Switzerland
2009H2,google,0,3663,0,Brazil
2009H2,google,0,30,0,Israel
2009H2,google,0,67,0,Belgium
2009H2,google,0,45,0,Portugal
2010H1,google,0,56,0,Japan
2010H1,google,0,1343,0,United Kingdom
2010H1,google,0,115,0,Chile
2010H1,google,0,1017,0,France
2010H1,google,0,372,0,Spain
2010H1,google,0,1430,0,India
2010H1,google,0,106,0,Singapore
2010H1,google,0,4287,0,United States
2010H1,google,0,134,0,Argentina
2010H1,google,0,170,0,South Korea
2010H1,google,0,668,0,Germany
2010H1,google,0,200,0,Australia
2010H1,google,0,651,0,Italy
2010H1,google,0,51,0,Turkey
2010H1,google,0,50,0,Hong Kong
2010H1,google,0,35,0,Switzerland
2010H1,google,0,2435,0,Brazil
2010H1,google,0,130,0,Taiwan
2010H1,google,0,30,0,Israel
2010H1,google,0,71,0,Belgium
2010H1,google,0,73,0,Portugal
2010H2,google,0.9,72,64,Japan
2010H2,google,0.56,1021,571,France
2010H2,google,0.66,121,79,Chile
2010H2,google,0.55,38,20,Canada
2010H2,google,0.61,359,218,Spain
2010H2,google,0.88,118,103,Singapore
2010H2,google,0.76,768,583,Germany
2010H2,google,0.81,345,279,Australia
2010H2,google,0,45,0,Turkey
2010H2,google,0.59,90,53,Hong Kong
2010H2,google,0,68,0,Hungary
2010H2,google,0.76,1804,1371,Brazil
2010H2,google,0.73,85,62,Belgium
2010H2,google,0.72,1162,836,United Kingdom
2010H2,google,0.79,1699,1342,India
2010H2,google,0.67,43,28,Netherlands
2010H2,google,0.94,4601,4324,United States
2010H2,google,0.4,127,50,Argentina
2010H2,google,0.12,272,32,Poland
2010H2,google,0.45,190,85,South Korea
2010H2,google,0.6,837,502,Italy
2010H2,google,0.65,156,101,Taiwan
2010H2,google,0.76,54,41,Israel
2010H2,google,0.43,92,39,Portugal
2010H2,google,0.56,34,19,Mexico
2011H1,google,0.87,75,65,Japan
2011H1,google,0.47,1312,616,France
2011H1,google,0.42,118,49,Chile
2011H1,google,0.48,50,24,Canada
2011H1,google,0.63,460,289,Spain
2011H1,google,0.75,106,79,Singapore
2011H1,google,0.66,1065,702,Germany
2011H1,google,0.73,361,263,Australia
2011H1,google,0,73,0,Turkey
2011H1,google,0.42,123,51,Hong Kong
2011H1,google,0,81,0,Hungary
2011H1,google,0.87,703,611,Brazil
2011H1,google,0.67,90,60,Belgium
2011H1,google,0,42,0,Russia
2011H1,google,0.63,1279,805,United Kingdom
2011H1,google,0.7,1739,1217,India
2011H1,google,0.48,64,30,Netherlands
2011H1,google,0.93,5950,5533,United States
2011H1,google,0.32,134,42,Argentina
2011H1,google,0.11,266,29,Poland
2011H1,google,0.37,259,95,South Korea
2011H1,google,0.6,934,560,Italy
2011H1,google,0.69,36,24,Switzerland
2011H1,google,0.81,155,125,Taiwan
2011H1,google,0.6,60,36,Israel
2011H1,google,0.5,161,80,Portugal
2011H1,google,0.42,48,20,Mexico
2011H2,google,0.59,90,53,Japan
2011H2,google,0.44,1404,617,France
2011H2,google,0.43,117,50,Chile
2011H2,google,0.24,41,9,Canada
2011H2,google,0.51,388,197,Spain
2011H2,google,0.83,102,84,Singapore
2011H2,google,0.45,1426,641,Germany
2011H2,google,0.65,444,288,Australia
2011H2,google,0,88,0,Turkey
2011H2,google,0.51,202,103,Hong Kong
2011H2,google,0,73,0,Hungary
2011H2,google,0.9,1615,1453,Brazil
2011H2,google,0.69,49,33,Norway
2011H2,google,0.67,99,66,Belgium
2011H2,google,0,58,0,Russia
2011H2,google,0.64,1455,931,United Kingdom
2011H2,google,0.66,2207,1456,India
2011H2,google,0.59,37,21,Netherlands
2011H2,google,0.93,6321,5878,United States
2011H2,google,0.33,141,46,Argentina
2011H2,google,0.22,241,53,Poland
2011H2,google,0.37,257,95,South Korea
2011H2,google,0.51,844,430,Italy
2011H2,google,0.67,69,46,Switzerland
2011H2,google,0.75,224,168,Taiwan
2011H2,google,0.61,51,31,Israel
2011H2,google,0.29,147,42,Portugal
2011H2,google,0.25,67,16,Mexico
2012H1,google,0.86,104,89,Japan
2012H1,google,0.42,1546,649,France
2012H1,google,0.45,101,45,Chile
2012H1,google,0.24,50,12,Canada
2012H1,google,0.52,531,276,Spain
2012H1,google,0.7,89,62,Singapore
2012H1,google,0.39,1533,597,Germany
2012H1,google,0.64,523,334,Australia
2012H1,google,0,112,0,Turkey
2012H1,google,0.33,192,63,Hong Kong
2012H1,google,0,92,0,Hungary
2012H1,google,0.32,44,14,Czechia
2012H1,google,0.76,1566,1190,Brazil
2012H1,google,0.7,37,25,Norway
2012H1,google,0.67,107,71,Belgium
2012H1,google,0.78,32,24,Denmark
2012H1,google,0,58,0,Russia
2012H1,google,0.64,1425,912,United Kingdom
2012H1,google,0.64,2319,1484,India
2012H1,google,0.76,59,44,Netherlands
2012H1,google,0.9,7969,7172,United States
2012H1,google,0.38,137,52,Argentina
2012H1,google,0.21,351,73,Poland
2012H1,google,0.35,423,148,South Korea
2012H1,google,0.34,841,285,Italy
2012H1,google,0.68,82,55,Switzerland
2012H1,google,0.63,271,170,Taiwan
2012H1,google,0.6,55,33,Israel
2012H1,google,0.06,34,2,Ireland
2012H1,google,0.14,184,25,Portugal
2012H1,google,0.45,71,31,Mexico
2012H2,google,0.62,124,76,Japan
2012H2,google,0.44,1693,744,France
2012H2,google,0.58,109,63,Chile
2012H2,google,0.24,38,9,Canada
2012H2,google,0.49,447,219,Spain
2012H2,google,0.75,96,72,Singapore
2012H2,google,0.42,1550,651,Germany
2012H2,google,0.65,584,379,Australia
2012H2,google,0,149,0,Turkey
2012H2,google,0.31,255,79,Hong Kong
2012H2,google,0,95,0,Hungary
2012H2,google,0.31,51,15,Czechia
2012H2,google,0.66,1211,799,Brazil
2012H2,google,0.63,120,75,Belgium
2012H2,google,0.59,34,20,Denmark
2012H2,google,0.01,97,0,Russia
2012H2,google,0.7,1458,1020,United Kingdom
2012H2,google,0.66,2431,1604,India
2012H2,google,0.88,1896,1668,United States
2012H2,google,0.9,758,682,United States
2012H2,google,0.88,5784,5089,United States
2012H2,google,0.38,114,43,Argentina
2012H2,google,0.17,409,69,Poland
2012H2,google,0.3,355,106,South Korea
2012H2,google,0.34,846,287,Italy
2012H2,google,0.67,49,32,Switzerland
2012H2,google,0.74,290,214,Taiwan
2012H2,google,0.59,56,33,Israel
2012H2,google,0.3,200,60,Portugal
2012H2,google,0.24,90,21,Mexico
2013H1,google,0.58,194,112,Japan
2013H1,google,0.49,2011,985,France
2013H1,google,0.51,106,54,Chile
2013H1,google,0.27,49,13,Canada
2013H1,google,0.55,647,355,Spain
2013H1,google,0.59,111,65,Singapore
2013H1,google,0.48,2311,1109,Germany
2013H1,google,0.64,645,412,Australia
2013H1,google,0,204,0,Turkey
2013H1,google,0.34,253,86,Hong Kong
2013H1,google,0,86,0,Hungary
2013H1,google,0.41,63,25,Czechia
2013H1,google,0.65,1239,805,Brazil
2013H1,google,0.66,194,128,Belgium
2013H1,google,0.65,37,24,Denmark
2013H1,google,0,103,0,Russia
2013H1,google,0.67,1274,853,United Kingdom
2013H1,google,0.64,2691,1722,India
2013H1,google,0.64,45,28,Netherlands
2013H1,google,0.81,119,96,United States
2013H1,google,0.69,671,462,United States
2013H1,google,0.81,2456,1989,United States
2013H1,google,0.89,207,184,United States
2013H1,google,0.84,7458,6264,United States
2013H1,google,1,7,7,United States
2013H1,google,0.48,114,54,Argentina
2013H1,google,0.23,496,114,Poland
2013H1,google,0.31,357,110,South Korea
2013H1,google,0.38,901,342,Italy
2013H1,google,0.73,80,58,Switzerland
2013H1,google,0.66,306,201,Taiwan
2013H1,google,0.59,64,37,Israel
2013H1,google,0.33,36,11,Sweden
2013H1,google,0.3,261,78,Portugal
2013H1,google,0.39,83,32,Mexico
2013H2,google,0,2,0,Nigeria
2013H2,google,0,1,0,Trinidad & Tobago
2013H2,google,0.25,52,13,Canada
2013H2,google,0.45,141,63,Chile
2013H2,google,0,14,0,Colombia
2013H2,google,0,1,0,Vatican City
2013H2,google,0,2,0,C��te d��_��Ivoire
2013H2,google,0.68,755,513,Singapore
2013H2,google,0.83,54,44,Malta
2013H2,google,0,3,0,Macau
2013H2,google,0,2,0,Georgia
2013H2,google,0,2,0,South Africa
2013H2,google,0.01,133,1,Turkey
2013H2,google,0,1,0,Costa Rica
2013H2,google,0.15,13,1,Greece
2013H2,google,0,42,0,Hungary
2013H2,google,0,14,0,Thailand
2013H2,google,0.64,11,7,Lithuania
2013H2,google,0,2,0,Malaysia
2013H2,google,0.73,162,118,Belgium
2013H2,google,0.03,90,2,Russia
2013H2,google,0.15,34,5,Slovakia
2013H2,google,0.5,2,1,Estonia
2013H2,google,0,3,0,Lebanon
2013H2,google,0.51,123,62,Argentina
2013H2,google,0.92,13,11,Finland
2013H2,google,0.56,16,8,Romania
2013H2,google,0,1,0,Slovenia
2013H2,google,0.67,111,74,Switzerland
2013H2,google,0.61,439,267,Taiwan
2013H2,google,0.65,43,27,Israel
2013H2,google,0.27,15,4,Ireland
2013H2,google,0,1,0,Bulgaria
2013H2,google,0,2,0,Peru
2013H2,google,0.6,111,66,Japan
2013H2,google,0.51,2750,1402,France
2013H2,google,0.53,545,288,Spain
2013H2,google,0,3,0,Croatia
2013H2,google,0.57,14,7,New Zealand
2013H2,google,0.4,2660,1064,Germany
2013H2,google,0.7,780,546,Australia
2013H2,google,0,1,0,Mauritius
2013H2,google,0.37,347,128,Hong Kong
2013H2,google,0.39,74,28,Czechia
2013H2,google,0.49,1085,531,Brazil
2013H2,google,0.73,37,27,Norway
2013H2,google,0.62,58,35,Denmark
2013H2,google,0.63,8,5,Kenya
2013H2,google,0.69,1397,963,United Kingdom
2013H2,google,0.66,2513,1658,India
2013H2,google,0.75,53,39,Netherlands
2013H2,google,0.78,153,119,United States
2013H2,google,0.75,689,516,United States
2013H2,google,0.81,2537,2054,United States
2013H2,google,0.9,140,126,United States
2013H2,google,0.84,7044,5916,United States
2013H2,google,1,11,11,United States
2013H2,google,0.23,502,115,Poland
2013H2,google,0.31,353,109,South Korea
2013H2,google,0.42,896,376,Italy
2013H2,google,0,1,0,Liechtenstein
2013H2,google,0,3,0,Ecuador
2013H2,google,0,2,0,United Arab Emirates
2013H2,google,0,1,0,Ukraine
2013H2,google,0,3,0,Pakistan
2013H2,google,0.28,18,5,Sweden
2013H2,google,0,1,0,China
2013H2,google,0.45,283,127,Portugal
2013H2,google,0.26,23,5,Austria
2013H2,google,0.64,81,51,Mexico
2014H1,google,0,3,0,Nigeria
2014H1,google,0.33,27,8,Canada
2014H1,google,0.39,137,53,Chile
2014H1,google,0.07,14,0,Colombia
2014H1,google,0.61,1086,662,Singapore
2014H1,google,0.67,42,28,Malta
2014H1,google,0,5,0,Macau
2014H1,google,0,7,0,South Africa
2014H1,google,0,224,0,Turkey
2014H1,google,0,0,0,Costa Rica
2014H1,google,0.38,16,6,Greece
2014H1,google,0,17,0,Hungary
2014H1,google,0,10,0,Thailand
2014H1,google,0.83,6,4,Lithuania
2014H1,google,0,15,0,Malaysia
2014H1,google,0,0,0,Iceland
2014H1,google,0.73,213,155,Belgium
2014H1,google,0.1,93,9,Russia
2014H1,google,0.07,29,2,Slovakia
2014H1,google,0,1,0,Kosovo
2014H1,google,0,1,0,Luxembourg
2014H1,google,0.67,3,2,Estonia
2014H1,google,0.55,139,76,Argentina
2014H1,google,0.94,17,15,Finland
2014H1,google,0.5,2,1,Guernsey
2014H1,google,0.6,20,12,Romania
2014H1,google,0,0,0,Paraguay
2014H1,google,0.5,4,2,Slovenia
2014H1,google,0.68,124,84,Switzerland
2014H1,google,0.03,548,16,Taiwan
2014H1,google,0.66,88,58,Israel
2014H1,google,0.3,10,3,Ireland
2014H1,google,0,1,0,Albania
2014H1,google,0,1,0,Bulgaria
2014H1,google,0,5,0,Peru
2014H1,google,0.77,121,93,Japan
2014H1,google,0.59,3002,1771,France
2014H1,google,0.46,696,320,Spain
2014H1,google,0,1,0,Croatia
2014H1,google,0.79,24,18,New Zealand
2014H1,google,0.48,3338,1602,Germany
2014H1,google,0.66,752,496,Australia
2014H1,google,0.48,359,172,Hong Kong
2014H1,google,0.57,99,56,Czechia
2014H1,google,0.55,684,376,Brazil
2014H1,google,0.56,45,25,Norway
2014H1,google,0.5,52,26,Denmark
2014H1,google,0,2,0,Kenya
2014H1,google,0.72,1535,1105,United Kingdom
2014H1,google,0.61,2794,1704,India
2014H1,google,0,2,0,Maldives
2014H1,google,0.82,72,59,Netherlands
2014H1,google,0.65,171,111,United States
2014H1,google,0.78,798,622,United States
2014H1,google,0.84,3187,2677,United States
2014H1,google,0.91,165,150,United States
2014H1,google,0.84,8211,6897,United States
2014H1,google,1,7,7,United States
2014H1,google,0.28,591,165,Poland
2014H1,google,0.29,416,120,South Korea
2014H1,google,0,1,0,Namibia
2014H1,google,0,1,0,Indonesia
2014H1,google,0,1,0,Egypt
2014H1,google,0.43,1108,476,Italy
2014H1,google,0,2,0,Liechtenstein
2014H1,google,0,1,0,Nepal
2014H1,google,0,1,0,Ecuador
2014H1,google,0.5,2,1,Ukraine
2014H1,google,0,7,0,Pakistan
2014H1,google,0.31,42,13,Sweden
2014H1,google,0.5,2,1,China
2014H1,google,0.53,338,179,Portugal
2014H1,google,0.34,47,15,Austria
2014H1,google,0,2,0,Dominican Republic
2014H1,google,0.71,111,78,Mexico
2014H2,google,0,1,0,Nigeria
2014H2,google,0.78,18,14,Canada
2014H2,google,0,26,0,Canada
2014H2,google,0.23,26,5,Canada
2014H2,google,0.47,175,82,Chile
2014H2,google,0.33,6,1,Colombia
2014H2,google,0,3,0,Colombia
2014H2,google,0,13,0,Colombia
2014H2,google,0.68,1410,958,Singapore
2014H2,google,0.51,57,29,Malta
2014H2,google,0,3,0,Macau
2014H2,google,0,3,0,South Africa
2014H2,google,0,3,0,South Africa
2014H2,google,0,1,0,Turkey
2014H2,google,0,344,0,Turkey
2014H2,google,0,2,0,Costa Rica
2014H2,google,0.44,9,3,Greece
2014H2,google,0.31,13,4,Greece
2014H2,google,0,1,0,Hungary
2014H2,google,0,21,0,Hungary
2014H2,google,0,4,0,Thailand
2014H2,google,0.67,6,4,Lithuania
2014H2,google,0,11,0,Malaysia
2014H2,google,0.67,6,4,Belgium
2014H2,google,0,7,0,Belgium
2014H2,google,0.67,208,139,Belgium
2014H2,google,0.05,134,6,Russia
2014H2,google,0.09,33,2,Slovakia
2014H2,google,0.2,5,1,Estonia
2014H2,google,1,1,1,Argentina
2014H2,google,0,3,0,Argentina
2014H2,google,0.54,186,100,Argentina
2014H2,google,0,2,0,Finland
2014H2,google,0.72,18,12,Finland
2014H2,google,0,1,0,Serbia
2014H2,google,0.48,29,13,Romania
2014H2,google,0,2,0,Switzerland
2014H2,google,0.65,130,84,Switzerland
2014H2,google,1,1,1,Slovenia
2014H2,google,0,1,0,Taiwan
2014H2,google,0.3,216,64,Taiwan
2014H2,google,0,2,0,Israel
2014H2,google,0,1,0,Israel
2014H2,google,0.71,94,66,Israel
